show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,TV Show,Sample Title 1,,"John Sharma, Yuki Brown, Sofia Kim, Nina Jones",South Korea,2008-06-24,1995,TV-Y,3 Seasons,"Kids' TV, TV Comedies",A sample description for demonstration purposes.
s2,Movie,Sample Title 2,Hana Tanaka,"Emma Patel, Sofia Tanaka, Yuki Smith, Liam Kim, Diego Sato",United States,7/24/2008,1979,PG-13,50 min,"Cult Movies, Anime Series, Children & Family Movies",A sample description for demonstration purposes.
s3,Movie,Sample Title 3,John Sharma,"Wei Jones, Raj Khan",Canada,"October 06, 2008",1950,NC-17,149 min,"Stand-Up Comedy, Classic Movies, Independent Movies",A sample description for demonstration purposes.
s4,Movie,Sample Title 4,Hana Brown,"Priya Garcia, Yuki Sato, Hana Tanaka, Raj Adeyemi",South Korea,2008-03-22,1997,TV-14,41 min,Music & Musicals,A sample description for demonstration purposes.
s5,Movie,Sample Title 5,Tom Sharma,"Alex Sharma, Wei Novak, Wei Khan, Hana Kim, Liam Brown",United States,"February 16, 2008",1988,G,136 min,"Stand-Up Comedy, Sports Movies, Sci-Fi & Fantasy",A sample description for demonstration purposes.
s6,Movie,Sample Title 6,,"Yuki Tanaka, John Khan, Priya Chen",India,2009-01-03,2007,TV-MA,54 min,"Classic Movies, Romantic Movies, Stand-Up Comedy",A sample description for demonstration purposes.
s7,Movie,Sample Title 7,Emma Tanaka,"Maria Tanaka, Nina Kim",South Korea,2008-05-25,1971,PG-13,113 min,"Anime Series, International Movies",A sample description for demonstration purposes.
s8,Movie,Sample Title 8,Diego Garcia,"Emma Khan, Emma Smith, John Tanaka, Priya Lopez",Canada,2008-03-13,1968,NC-17,177 min,"Anime Series, Documentaries",A sample description for demonstration purposes.
s9,Movie,Sample Title 9,Ahmed Tanaka,"Maria Chen, Yuki Sato",United States,2008-04-25,2006,R,111 min,"Classic Movies, Horror Movies",A sample description for demonstration purposes.
s10,Movie,Sample Title 10,Yuki Brown,"Sofia Garcia, Hana Sato",Spain,2008-04-26,1989,,93 min,Action & Adventure,A sample description for demonstration purposes.
s11,Movie,Sample Title 11,Liam Lopez,"Emma Lee, Sofia Patel, Tom Sato",United States,"December 21, 2008",2001,TV-PG,138 min,Sci-Fi & Fantasy,A sample description for demonstration purposes.
s12,Movie,Sample Title 12,Ahmed Sharma,"Maria Brown, Yuki Lopez, Alex Jones, Sofia Sato, Ahmed Lopez",Australia,,1984,PG-13,66 min,"Independent Movies, Comedies, Anime Series",A sample description for demonstration purposes.
s13,TV Show,Sample Title 13,,"Priya Chen, Wei Lee",United Kingdom,1/4/2018,2017,TV-Y,9 Seasons,"Reality TV, Crime TV Shows, TV Comedies",A sample description for demonstration purposes.
s14,Movie,Sample Title 14,Maria Khan,"Alex Silva, Maria Silva",France,2008-03-08,1956,TV-PG,61 min,"Comedies, Documentaries, Stand-Up Comedy",A sample description for demonstration purposes.
s15,Movie,Sample Title 15,,"Hana Sharma, Maria Silva",Nigeria,2021-02-14,2019,TV-PG,90 min,Independent Movies,A sample description for demonstration purposes.
s16,TV Show,Sample Title 16,,"Wei Sharma, Wei Jones, Yuki Patel",United States,8/5/2008,1977,TV-G,10 Seasons,"Reality TV, TV Comedies",A sample description for demonstration purposes.
s17,TV Show,Sample Title 17,,"Priya Chen, Priya Lee, Diego Sharma, Raj Lee",Mexico,"April 12, 2008",2003,TV-G,10 Seasons,British TV Shows,A sample description for demonstration purposes.
s18,Movie,Sample Title 18,John Adeyemi,"Liam Smith, Diego Smith",United States,"February 06, 2008",1950,TV-PG,171 min,Documentaries,A sample description for demonstration purposes.
s19,Movie,Sample Title 19,Liam Smith,"Priya Patel, Priya Sato, Olu Lee, Ahmed Chen, Alex Smith",Mexico,"July 19, 2008",1978,PG-13,172 min,"Sports Movies, Thrillers",A sample description for demonstration purposes.
s20,TV Show,Sample Title 20,,"Olu Jones, Hana Sato, Olu Jones, Diego Kim, Raj Brown",,"January 11, 2008",1952,TV-MA,10 Seasons,Reality TV,A sample description for demonstration purposes.
s21,TV Show,Sample Title 21,,"Priya Lopez, Sofia Brown, Sofia Silva, Sofia Khan",India,2012-10-11,2009,TV-Y7,3 Seasons,"TV Dramas, Crime TV Shows",A sample description for demonstration purposes.
s22,TV Show,Sample Title 22,,"Liam Brown, Emma Sato, Maria Chen, John Silva",Canada,"November 24, 2008",1967,TV-G,5 Seasons,Crime TV Shows,A sample description for demonstration purposes.
s23,TV Show,Sample Title 23,,"John Lee, Tom Kim, Emma Khan, Olu Tanaka",United States,2008-12-04,1983,TV-Y,7 Seasons,"TV Comedies, TV Dramas, British TV Shows",A sample description for demonstration purposes.
s24,Movie,Sample Title 24,Olu Silva,"Liam Tanaka, Priya Adeyemi, John Novak, Raj Garcia, Emma Garcia",India,"February 15, 2008",1964,PG,138 min,"Horror Movies, Comedies, Anime Series",A sample description for demonstration purposes.
s25,TV Show,Sample Title 25,,"John Lee, John Garcia, Nina Brown",United States,9/10/2008,1961,TV-14,9 Seasons,"Kids' TV, TV Dramas",A sample description for demonstration purposes.
s26,Movie,Sample Title 26,Ahmed Khan,"Nina Sato, Maria Garcia",Japan,"December 10, 2008",2001,PG,164 min,"Romantic Movies, Dramas",A sample description for demonstration purposes.
s27,Movie,Sample Title 27,Diego Jones,"Tom Smith, Nina Sato, Wei Jones",United States,"September 23, 2008",1952,NC-17,194 min,"Comedies, Dramas, Anime Series",A sample description for demonstration purposes.
s28,Movie,Sample Title 28,,"Wei Sato, Nina Smith",South Korea,,1996,PG-13,183 min,Dramas,A sample description for demonstration purposes.
s29,Movie,Sample Title 29,Maria Jones,"Raj Tanaka, Alex Tanaka, Priya Garcia, Maria Silva, Liam Brown",Spain,"December 22, 2012",2008,TV-14,86 min,"Sci-Fi & Fantasy, Thrillers, Comedies",A sample description for demonstration purposes.
s30,TV Show,Sample Title 30,,"Alex Smith, Priya Novak, Yuki Silva, Ahmed Kim, Sofia Garcia",United States,2008-03-01,1956,TV-PG,3 Seasons,"British TV Shows, International TV Shows, Kids' TV",A sample description for demonstration purposes.
s31,TV Show,Sample Title 31,,"Hana Tanaka, Tom Kim, John Tanaka",United Kingdom,"November 16, 2008",1964,TV-MA,3 Seasons,"TV Dramas, Kids' TV",A sample description for demonstration purposes.
s32,Movie,Sample Title 32,Ahmed Kim,"Tom Adeyemi, Olu Lopez, Nina Smith",Canada,"February 26, 2008",1981,NR,84 min,Horror Movies,A sample description for demonstration purposes.
s33,Movie,Sample Title 33,Priya Jones,"Ahmed Brown, Hana Brown",Canada,2008-02-16,1956,TV-MA,134 min,"Classic Movies, Thrillers",A sample description for demonstration purposes.
s34,TV Show,Sample Title 34,,"Alex Garcia, Alex Garcia, Raj Sharma, Raj Smith, Maria Chen",Germany,2008-12-23,2001,TV-Y7,6 Seasons,"Reality TV, Kids' TV",A sample description for demonstration purposes.
s35,Movie,Sample Title 35,Hana Garcia,"Tom Garcia, Tom Tanaka, Emma Khan, Wei Jones",United States,11/1/2008,1950,TV-14,152 min,"Documentaries, Independent Movies, Anime Series",A sample description for demonstration purposes.
s36,Movie,Sample Title 36,John Patel,"Hana Kim, Liam Tanaka, Raj Khan, Sofia Garcia, Raj Jones",,"March 21, 2008",1994,TV-MA,124 min,Horror Movies,A sample description for demonstration purposes.
s37,Movie,Sample Title 37,Tom Adeyemi,"Maria Chen, Priya Sharma",United States,4/5/2016,2015,G,190 min,"Romantic Movies, Independent Movies, Sci-Fi & Fantasy",A sample description for demonstration purposes.
s38,TV Show,Sample Title 38,,"Diego Sharma, Sofia Brown, Ahmed Novak",India,2008-01-20,1996,TV-MA,4 Seasons,TV Dramas,A sample description for demonstration purposes.
s39,TV Show,Sample Title 39,,"John Smith, Sofia Lopez, Priya Chen",Brazil,2008-07-14,1974,TV-Y,6 Seasons,TV Dramas,A sample description for demonstration purposes.
s40,Movie,Sample Title 40,Wei Jones,"Tom Jones, Hana Novak, Liam Silva, Wei Lee",Canada,,2016,R,135 min,"Independent Movies, Horror Movies",A sample description for demonstration purposes.
s41,Movie,Sample Title 41,Raj Silva,"Sofia Smith, Maria Chen, Alex Brown, Emma Lee",,2008-10-12,1984,NR,193 min,"Sports Movies, Cult Movies",A sample description for demonstration purposes.
s42,TV Show,Sample Title 42,,"Priya Smith, Alex Lopez, Tom Smith, Sofia Garcia",Nigeria,"May 02, 2008",1980,TV-Y7,8 Seasons,"Reality TV, British TV Shows, TV Dramas",A sample description for demonstration purposes.
s43,TV Show,Sample Title 43,,,Mexico,,2001,TV-Y7,10 Seasons,"TV Dramas, Kids' TV, Crime TV Shows",A sample description for demonstration purposes.
s44,Movie,Sample Title 44,Diego Adeyemi,"Wei Brown, Nina Sharma",Mexico,"August 19, 2008",1998,TV-14,106 min,Anime Series,A sample description for demonstration purposes.
s45,Movie,Sample Title 45,Wei Kim,"Diego Adeyemi, Alex Khan, Yuki Novak, Priya Tanaka, Sofia Kim",United States,9/12/2008,1951,NR,169 min,Stand-Up Comedy,A sample description for demonstration purposes.
s46,Movie,Sample Title 46,Tom Jones,"Wei Lopez, Nina Khan, Priya Brown, Sofia Novak, Nina Chen",India,"July 01, 2008",1972,NR,194 min,"Independent Movies, Classic Movies",A sample description for demonstration purposes.
s47,Movie,Sample Title 47,John Chen,"Hana Tanaka, Raj Tanaka, Tom Lee, Olu Sato, Wei Sharma",United States,"April 24, 2008",1990,PG,78 min,"Cult Movies, Music & Musicals, Action & Adventure",A sample description for demonstration purposes.
s48,Movie,Sample Title 48,Diego Garcia,,United States,6/18/2008,1969,NC-17,164 min,Action & Adventure,A sample description for demonstration purposes.
s49,Movie,Sample Title 49,,"Priya Lee, Wei Tanaka, Ahmed Patel",United States,"April 14, 2021",2020,G,47 min,"Dramas, Documentaries",A sample description for demonstration purposes.
s50,TV Show,Sample Title 50,,"Liam Chen, Priya Lopez, Olu Patel",South Korea,"January 03, 2008",1953,TV-Y,6 Seasons,"TV Dramas, Kids' TV, TV Comedies",A sample description for demonstration purposes.
s51,Movie,Sample Title 51,,"Alex Novak, Priya Sharma",United States,"June 02, 2008",1964,TV-MA,178 min,Documentaries,A sample description for demonstration purposes.
s52,Movie,Sample Title 52,Raj Tanaka,"Tom Sharma, Wei Chen",Mexico,2008-03-03,1953,,131 min,Classic Movies,A sample description for demonstration purposes.
